Short form,Long form
Aldrich,Aldrichina grahami
M,matrix protein
M,matrix protein
HA,hemagglutinin
HA,hemagglutinin
HA,hemagglutinin
RT-PCR,reverse transcriptionpolymerase chain reaction
NA,neuraminidase gene
NA,neuraminidase gene
